"","symbol","timestamp","open","high","low","close","volume"
"1","GOOG",2020-07-09 15:35:00,1507.48,1508.79,1505,1507.75,13638
"2","GOOG",2020-07-09 15:40:00,1508.2134,1508.29,1505.64,1508.01,13656
"3","GOOG",2020-07-09 15:45:00,1508.1901,1510.92,1505.71,1510.53,16652
"4","GOOG",2020-07-09 15:50:00,1510.99,1516.36,1510.99,1513.83,26293
"5","GOOG",2020-07-09 15:55:00,1511.72,1516.72,1510.3701,1512.87,50064
"6","GOOG",2020-07-09 16:00:00,1513.52,1513.995,1508.63,1509.82,68891
"7","GOOG",2020-07-09 16:05:00,1510.99,1510.99,1510.99,1510.99,40373
"8","GOOG",2020-07-09 16:15:00,1514,1514,1514,1514,1089
"9","GOOG",2020-07-09 16:20:00,1510.99,1510.99,1510.99,1510.99,358
"10","GOOG",2020-07-09 16:35:00,1509.95,1509.95,1509.95,1509.95,172
"11","GOOG",2020-07-09 17:00:00,1510.99,1510.99,1510.99,1510.99,4003
"12","GOOG",2020-07-09 17:45:00,1510.45,1510.45,1510.45,1510.45,298
"13","GOOG",2020-07-10 08:05:00,1504.93,1504.93,1502,1502,568
"14","GOOG",2020-07-10 09:25:00,1510,1510,1510,1510,530
"15","GOOG",2020-07-10 09:30:00,1509,1509,1506.62,1506.62,355
"16","GOOG",2020-07-10 09:35:00,1506.15,1510.63,1503.61,1505.09,78597
"17","GOOG",2020-07-10 09:40:00,1505.06,1505.99,1500.65,1503.196,32899
"18","GOOG",2020-07-10 09:45:00,1503.6,1505.19,1498.91,1502.0577,25890
"19","GOOG",2020-07-10 09:50:00,1501.04,1503.79,1497.91,1503.79,23760
"20","GOOG",2020-07-10 09:55:00,1505.84,1505.91,1498,1498.8525,20163
"21","GOOG",2020-07-10 10:00:00,1498.705,1502.26,1497,1501.845,16813
"22","GOOG",2020-07-10 10:05:00,1501.31,1501.87,1496.54,1497.65,32910
"23","GOOG",2020-07-10 10:10:00,1498.05,1502.59,1497.39,1502.28,22386
"24","GOOG",2020-07-10 10:15:00,1502.035,1508.03,1502.035,1507.985,14397
"25","GOOG",2020-07-10 10:20:00,1508.6693,1510,1507.26,1508.7934,20559
"26","GOOG",2020-07-10 10:25:00,1508.5,1511.6,1508.5,1511.0025,18762
"27","GOOG",2020-07-10 10:30:00,1510.89,1514,1509.75,1513.24,14565
"28","GOOG",2020-07-10 10:35:00,1513.08,1513.1066,1511.0399,1511.14,12416
"29","GOOG",2020-07-10 10:40:00,1510.95,1512.5,1510.59,1510.64,12894
"30","GOOG",2020-07-10 10:45:00,1511.15,1513.89,1511.15,1513,10038
"31","GOOG",2020-07-10 10:50:00,1512.1,1512.3746,1509.38,1509.73,12432
"32","GOOG",2020-07-10 10:55:00,1510.03,1511.99,1509.53,1511.99,15868
"33","GOOG",2020-07-10 11:00:00,1511.7264,1512.42,1509.52,1512.03,22156
"34","GOOG",2020-07-10 11:05:00,1512.07,1513.37,1510.68,1510.68,16625
"35","GOOG",2020-07-10 11:10:00,1510.98,1514.24,1510.17,1514.06,14539
"36","GOOG",2020-07-10 11:15:00,1514.24,1515.15,1512.1583,1514.56,18519
"37","GOOG",2020-07-10 11:20:00,1515.23,1516.49,1514.47,1514.82,13189
"38","GOOG",2020-07-10 11:25:00,1514.9999,1514.9999,1513.6001,1514.42,4490
"39","GOOG",2020-07-10 11:30:00,1514.591,1514.591,1511.52,1511.52,11949
"40","GOOG",2020-07-10 11:35:00,1511.6612,1512.71,1511.0001,1512.195,8981
"41","GOOG",2020-07-10 11:40:00,1512.3472,1515.37,1512.3472,1514.82,10884
"42","GOOG",2020-07-10 11:45:00,1515.08,1516.89,1515.08,1515.78,7881
"43","GOOG",2020-07-10 11:50:00,1515.98,1515.98,1514.2834,1515.05,16220
"44","GOOG",2020-07-10 11:55:00,1515.3,1516.39,1514.89,1514.89,7820
"45","GOOG",2020-07-10 12:00:00,1515.56,1516.87,1515.08,1515.9,13103
"46","GOOG",2020-07-10 12:05:00,1515.7032,1516.02,1514.5,1514.91,12495
"47","GOOG",2020-07-10 12:10:00,1515.24,1515.29,1513.37,1514.02,9432
"48","GOOG",2020-07-10 12:15:00,1514.47,1514.73,1514.06,1514.28,6199
"49","GOOG",2020-07-10 12:20:00,1514.35,1514.85,1512.27,1513.72,18441
"50","GOOG",2020-07-10 12:25:00,1514.55,1514.84,1513.56,1514.37,13984
"51","GOOG",2020-07-10 12:30:00,1514.82,1515,1510,1512.11,14744
"52","GOOG",2020-07-10 12:35:00,1511.77,1514,1511.71,1514,9004
"53","GOOG",2020-07-10 12:40:00,1513.9,1515.07,1513.0601,1515.07,17213
"54","GOOG",2020-07-10 12:45:00,1515.37,1517.46,1514.39,1516.9,16276
"55","GOOG",2020-07-10 12:50:00,1516.45,1516.78,1514.55,1515.48,8260
"56","GOOG",2020-07-10 12:55:00,1515.26,1515.5,1514,1514.91,9924
"57","GOOG",2020-07-10 13:00:00,1514.77,1516.97,1514.6611,1516.89,17927
"58","GOOG",2020-07-10 13:05:00,1516.81,1517.04,1514.9466,1515.6,14210
"59","GOOG",2020-07-10 13:10:00,1515.845,1516.5,1515.6,1516.15,7391
"60","GOOG",2020-07-10 13:15:00,1516.29,1517.16,1515.43,1517.16,12027
"61","GOOG",2020-07-10 13:20:00,1517.11,1517.7674,1516.8916,1517.705,6283
"62","GOOG",2020-07-10 13:25:00,1518.03,1519.21,1517.69,1518.5,26876
"63","GOOG",2020-07-10 13:30:00,1518.4936,1519.75,1518.18,1519.2,9956
"64","GOOG",2020-07-10 13:35:00,1519.255,1519.34,1516.17,1517.07,8040
"65","GOOG",2020-07-10 13:40:00,1516.7,1517.83,1516.1987,1517.174,6070
"66","GOOG",2020-07-10 13:45:00,1516.43,1518.05,1516.43,1517.12,6240
"67","GOOG",2020-07-10 13:50:00,1516.6959,1518.46,1516.6959,1518.46,10462
"68","GOOG",2020-07-10 13:55:00,1519.14,1520.6286,1518.5701,1520.6286,15537
"69","GOOG",2020-07-10 14:00:00,1520.92,1520.95,1520.11,1520.28,15045
"70","GOOG",2020-07-10 14:05:00,1520.66,1521.78,1520.01,1521.225,16708
"71","GOOG",2020-07-10 14:10:00,1521.68,1522,1520.6,1521.16,25078
"72","GOOG",2020-07-10 14:15:00,1520.88,1521.64,1520.46,1520.46,9282
"73","GOOG",2020-07-10 14:20:00,1520.971,1522,1520.5525,1522,13392
"74","GOOG",2020-07-10 14:25:00,1521.77,1522.11,1520.055,1520.07,14387
"75","GOOG",2020-07-10 14:30:00,1520.29,1520.71,1519.21,1519.51,15180
"76","GOOG",2020-07-10 14:35:00,1519.57,1522.52,1519.2,1522.52,23083
"77","GOOG",2020-07-10 14:40:00,1522.25,1524.3201,1521.975,1524,31150
"78","GOOG",2020-07-10 14:45:00,1523.99,1527.22,1523.79,1526.3,59858
"79","GOOG",2020-07-10 14:50:00,1526.62,1530,1526.24,1528.19,25843
"80","GOOG",2020-07-10 14:55:00,1529.45,1532,1529.08,1531.75,19368
"81","GOOG",2020-07-10 15:00:00,1532.05,1532.05,1529.3,1531.18,18535
"82","GOOG",2020-07-10 15:05:00,1530.57,1532.26,1529.18,1531.95,23681
"83","GOOG",2020-07-10 15:10:00,1532.3,1533.43,1531.7901,1532.46,19086
"84","GOOG",2020-07-10 15:15:00,1532.27,1534,1531.48,1533.35,24132
"85","GOOG",2020-07-10 15:20:00,1533.36,1535.53,1533.01,1534.19,45781
"86","GOOG",2020-07-10 15:25:00,1534.195,1538.62,1534.195,1538.62,36628
"87","GOOG",2020-07-10 15:30:00,1538.66,1540,1538.01,1538.11,33631
"88","GOOG",2020-07-10 15:35:00,1537.57,1537.57,1533.4001,1537.22,29960
"89","GOOG",2020-07-10 15:40:00,1537.36,1539.3299,1533.51,1535.62,37176
"90","GOOG",2020-07-10 15:45:00,1535.85,1535.97,1533.01,1533.98,39166
"91","GOOG",2020-07-10 15:50:00,1533.96,1541.1,1533.96,1540.79,57365
"92","GOOG",2020-07-10 15:55:00,1541.15,1541.58,1538.41,1540.78,95255
"93","GOOG",2020-07-10 16:00:00,1540.96,1543.83,1540.96,1541.74,180130
"94","GOOG",2020-07-10 16:05:00,1541.74,1541.74,1540.98,1541.03,6120
"95","GOOG",2020-07-10 16:10:00,1541.1,1541.74,1541.1,1541.69,1345
"96","GOOG",2020-07-10 16:15:00,1541.8,1541.8,1541.8,1541.8,143
"97","GOOG",2020-07-10 16:25:00,1541.74,1541.74,1541.74,1541.74,1237
"98","GOOG",2020-07-10 16:30:00,1541.75,1541.75,1541.75,1541.75,300
"99","GOOG",2020-07-10 16:40:00,1542.06,1542.06,1542.06,1542.06,272
"100","GOOG",2020-07-10 16:45:00,1542.13,1542.13,1542.13,1542.13,196
"101","NFLX",2020-07-10 11:05:00,524.39,524.99,523.3877,523.491,110304
"102","NFLX",2020-07-10 11:10:00,523.54,524.6063,522.965,524.57,100058
"103","NFLX",2020-07-10 11:15:00,524.58,526.05,524.2101,525.85,173357
"104","NFLX",2020-07-10 11:20:00,525.935,527.0699,525.7164,525.8999,174534
"105","NFLX",2020-07-10 11:25:00,525.79,526.3908,525.67,525.91,87750
"106","NFLX",2020-07-10 11:30:00,525.8201,526.65,525.66,526.39,78415
"107","NFLX",2020-07-10 11:35:00,526.2001,528,526.08,527.1348,214939
"108","NFLX",2020-07-10 11:40:00,527.28,529.44,527.1101,529.17,278121
"109","NFLX",2020-07-10 11:45:00,529.205,529.95,528.64,529.7326,137071
"110","NFLX",2020-07-10 11:50:00,529.7,530.84,528.89,529.2,250593
"111","NFLX",2020-07-10 11:55:00,529.42,530.9,528.94,530.7242,177767
"112","NFLX",2020-07-10 12:00:00,530.7351,532,530.72,531.7196,269505
"113","NFLX",2020-07-10 12:05:00,531.8193,532.99,531.5,532.4,233997
"114","NFLX",2020-07-10 12:10:00,532.34,534.88,532.1001,533.84,318724
"115","NFLX",2020-07-10 12:15:00,534,534.28,532.8426,533.9954,222856
"116","NFLX",2020-07-10 12:20:00,534.027,537.03,533.72,535.8875,296839
"117","NFLX",2020-07-10 12:25:00,536.12,537.42,535.28,537.11,190700
"118","NFLX",2020-07-10 12:30:00,537.025,538.88,536.59,538.765,396679
"119","NFLX",2020-07-10 12:35:00,538.69,538.81,536.3501,537.157,267302
"120","NFLX",2020-07-10 12:40:00,537.14,539.5,536.49,538.8108,264718
"121","NFLX",2020-07-10 12:45:00,538.7301,541.25,538,541.1676,329189
"122","NFLX",2020-07-10 12:50:00,541.1684,542.1999,539.82,541.2499,325739
"123","NFLX",2020-07-10 12:55:00,541.208,541.37,539.44,540.595,216670
"124","NFLX",2020-07-10 13:00:00,540.5001,540.65,537.56,538.34,298556
"125","NFLX",2020-07-10 13:05:00,538.47,540.3,538.42,539.47,222889
"126","NFLX",2020-07-10 13:10:00,539.5434,540.79,539,540.04,170316
"127","NFLX",2020-07-10 13:15:00,540.07,540.8199,539.21,539.345,150214
"128","NFLX",2020-07-10 13:20:00,539.345,543.9,539.2692,543.9,297146
"129","NFLX",2020-07-10 13:25:00,543.87,547.7499,543.735,545.065,502602
"130","NFLX",2020-07-10 13:30:00,544.84,549.52,544.655,548.27,385855
"131","NFLX",2020-07-10 13:35:00,548.225,548.5388,545.9202,546.21,351343
"132","NFLX",2020-07-10 13:40:00,546.29,550.78,546.11,550.1758,405358
"133","NFLX",2020-07-10 13:45:00,550.16,552.4505,549.01,549.9228,488761
"134","NFLX",2020-07-10 13:50:00,549.76,553.5899,549.55,553.34,298507
"135","NFLX",2020-07-10 13:55:00,553.31,554.81,552.76,554.26,399968
"136","NFLX",2020-07-10 14:00:00,554.326,554.65,550.9,553.38,328922
"137","NFLX",2020-07-10 14:05:00,553.595,555.8799,552.75,554.037,371246
"138","NFLX",2020-07-10 14:10:00,554.075,554.2379,550.92,551.38,279721
"139","NFLX",2020-07-10 14:15:00,551.38,552.4,549.2,549.5284,407686
"140","NFLX",2020-07-10 14:20:00,549.4271,552.1099,549.4271,551.73,240734
"141","NFLX",2020-07-10 14:25:00,551.675,552.1141,547.57,549.41,328031
"142","NFLX",2020-07-10 14:30:00,549.23,551.47,549.09,549.175,210045
"143","NFLX",2020-07-10 14:35:00,549.14,550.2399,547.97,548.8834,195930
"144","NFLX",2020-07-10 14:40:00,548.821,548.8522,545.03,545.695,344662
"145","NFLX",2020-07-10 14:45:00,545.79,546.4,543.88,545.0301,345924
"146","NFLX",2020-07-10 14:50:00,545.16,548.2299,545.16,546.77,349900
"147","NFLX",2020-07-10 14:55:00,546.92,547,542.44,543.3168,337952
"148","NFLX",2020-07-10 15:00:00,543.385,545.487,542.0301,544.65,325796
"149","NFLX",2020-07-10 15:05:00,544.775,545.4,544.09,544.57,204285
"150","NFLX",2020-07-10 15:10:00,544.64,544.8,542.25,542.25,165334
"151","NFLX",2020-07-10 15:15:00,542.31,543.4021,541.29,542.12,250862
"152","NFLX",2020-07-10 15:20:00,542.145,545.8999,542.145,545.36,324102
"153","NFLX",2020-07-10 15:25:00,545.45,546.7262,544.5126,546.44,218853
"154","NFLX",2020-07-10 15:30:00,546.445,546.98,545.56,545.89,191997
"155","NFLX",2020-07-10 15:35:00,545.8442,548.4,544.38,548.4,302506
"156","NFLX",2020-07-10 15:40:00,548.4,549.73,547.43,547.6988,325529
"157","NFLX",2020-07-10 15:45:00,547.68,549,547.565,547.975,189980
"158","NFLX",2020-07-10 15:50:00,548.004,549.48,547.5501,549.12,221537
"159","NFLX",2020-07-10 15:55:00,549.5,549.86,548.58,548.865,287244
"160","NFLX",2020-07-10 16:00:00,548.925,549.5,548.4034,548.7,398909
"161","NFLX",2020-07-10 16:05:00,548.73,549.21,548.5,548.5,105541
"162","NFLX",2020-07-10 16:10:00,548.5,548.73,548.26,548.26,14221
"163","NFLX",2020-07-10 16:15:00,548.3,548.6,548.25,548.6,8348
"164","NFLX",2020-07-10 16:20:00,548.6,548.6,547.6,547.6,2803
"165","NFLX",2020-07-10 16:25:00,548,548,547.6,547.7,2238
"166","NFLX",2020-07-10 16:30:00,547.94,548.73,547.23,547.23,7780
"167","NFLX",2020-07-10 16:35:00,547.21,547.73,547,547.51,5725
"168","NFLX",2020-07-10 16:40:00,547.9,547.99,547.9,547.99,1419
"169","NFLX",2020-07-10 16:45:00,548.2,548.6998,548.2,548.45,5327
"170","NFLX",2020-07-10 16:50:00,548.5,548.69,548,548,2758
"171","NFLX",2020-07-10 16:55:00,548,548,547.6,547.87,1932
"172","NFLX",2020-07-10 17:00:00,547.61,547.61,547.61,547.61,141
"173","NFLX",2020-07-10 17:05:00,548,548,548,548,537
"174","NFLX",2020-07-10 17:10:00,548,548.5,548,548.5,676
"175","NFLX",2020-07-10 17:15:00,548.35,548.35,548,548,766
"176","NFLX",2020-07-10 17:20:00,548.49,548.49,548.49,548.49,247
"177","NFLX",2020-07-10 17:25:00,548.4,548.4,548.4,548.4,222
"178","NFLX",2020-07-10 17:30:00,548.7,548.7,548.7,548.7,290
"179","NFLX",2020-07-10 17:35:00,548.3,548.3,548.3,548.3,114
"180","NFLX",2020-07-10 17:40:00,548.5,548.7,548.5,548.7,1525
"181","NFLX",2020-07-10 17:45:00,548.7,548.7,548.7,548.7,2006
"182","NFLX",2020-07-10 17:55:00,548.5,548.69,548.41,548.66,1348
"183","NFLX",2020-07-10 18:00:00,548.7,548.7,548.7,548.7,1054
"184","NFLX",2020-07-10 18:05:00,548.7,548.98,548.41,548.98,7258
"185","NFLX",2020-07-10 18:10:00,548.75,549.75,548.75,549.74,3663
"186","NFLX",2020-07-10 18:15:00,549.72,549.72,549.72,549.72,924
"187","NFLX",2020-07-10 18:20:00,549.72,549.72,549,549.2,2131
"188","NFLX",2020-07-10 18:25:00,549.67,549.7,549.4,549.4,1286
"189","NFLX",2020-07-10 18:30:00,549.24,549.6,549.24,549.6,242
"190","NFLX",2020-07-10 18:35:00,549.22,549.52,549.22,549.52,701
"191","NFLX",2020-07-10 18:45:00,549.59,549.59,549.59,549.59,200
"192","NFLX",2020-07-10 18:55:00,549.7,549.7,549.7,549.7,182
"193","NFLX",2020-07-10 19:00:00,549.67,549.67,549.67,549.67,181
"194","NFLX",2020-07-10 19:10:00,549.69,549.69,549.69,549.69,600
"195","NFLX",2020-07-10 19:30:00,549.11,549.7,549.11,549.5001,1755
"196","NFLX",2020-07-10 19:40:00,549.72,549.72,549.5,549.5,859
"197","NFLX",2020-07-10 19:45:00,549.4,549.4,549.3,549.3,1349
"198","NFLX",2020-07-10 19:50:00,549.72,549.75,549.24,549.75,1407
"199","NFLX",2020-07-10 19:55:00,550.88,550.88,550.88,550.88,232
"200","NFLX",2020-07-10 20:00:00,550.41,550.48,550,550,1073
